[builder.pyw:394] - 2023-08-16 21:30:38,487 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-16 21:30:38,487 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-16 21:30:38,487 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-16 21:31:43,688 - INFO - Successfully compiled FPS UNLOCKER V-5.3.exe with pyinstaller
[builder.pyw:456] - 2023-08-16 21:31:45,248 - INFO - Successfully pumped file: FPS UNLOCKER V-5.3.exe
[builder.pyw:529] - 2023-08-16 21:31:45,261 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-16 21:31:45,261 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:538] - 2023-08-16 21:31:45,261 - INFO - Successfully removed file: ./FPS UNLOCKER V-5.3.spec
[builder.pyw:538] - 2023-08-16 21:31:45,262 - INFO - Successfully removed file: ./FPS UNLOCKER V-5.3.py
[admin.py:92] - 2023-08-16 21:33:18,478 - INFO - Process handle <PyHANDLE:1584> returned code -1073741510
[admin.py:29] - 2023-08-16 21:34:51,118 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-16 21:34:51,118 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-16 21:34:51,190 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'D:\\JEX WORK\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-16 21:34:51,191 - INFO - Running command 'C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - '"D:\\JEX WORK\\Luna-Grabber-main\\builder.pyw"'
[admin.py:29] - 2023-08-16 21:34:53,224 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,710 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,711 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,711 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,711 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,711 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,711 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,711 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,711 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,711 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,714 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,714 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,714 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,714 - DEBUG - STREAM b'pHYs' 70 9
